CNN,SURVEY_SOURCE,PRIMARY_ST,CROSS_STREET_1,CROSS_ST_2,MID_CORRIDOR,TYPE,DIRECTION,DAY,DATE,DAY_OF_WEEK,DAY_OF_MONTH,MONTH,YEAR,ROADWAY_CLASS,DATA_SOURCE,VOLUME_ADT,VOLUME_AM_PEAK,VOLUME_PM_PEAK,85_PERC_SPEED,AVERAGE_SPEED,,,,,,,,,
12276101,SFDPH,SUNSET BLVD,JUDAH ST,KIRKHAM ST,,,SB,4,2/13/13,WEDNESDAY,13,2,2013,,SFMTA DEPT PARKING AND TRAFFIC,,,,38,19,,,,,,,,,
12277101,SFDPH,SUNSET BLVD,KIRKHAM ST,LAWTON ST,,,SB,4,2/13/13,WEDNESDAY,13,2,2013,,SFMTA DEPT PARKING AND TRAFFIC,,,,38,19,,,,,,,,,
360000,SFDPH,07TH AVE,IRVING ST,JUDAH ST,,,SB,3,3/12/13,TUESDAY,12,3,2013,,SFMTA DEPT PARKING AND TRAFFIC,,,,30,27,,,,,,,,,
1373000,SFDPH,25TH AVE,LAKE ST,CALIFORNIA ST,,,SB,5,3/14/13,THURSDAY,14,3,2013,,SFMTA DEPT PARKING AND TRAFFIC,,,,31,28,,,,,,,,,
1377000,SFDPH,25TH AVE,ANZA ST,BALBOA ST,,,NB,5,3/14/13,THURSDAY,14,3,2013,,SFMTA DEPT PARKING AND TRAFFIC,,,,32,27,,,,,,,,,
1377000,SFDPH,25TH AVE,ANZA ST,BALBOA ST,,,SB,5,3/14/13,THURSDAY,14,3,2013,,SFMTA DEPT PARKING AND TRAFFIC,,,,31,27,,,,,,,,,
1373000,SFDPH,25TH AVE,LAKE ST,CALIFORNIA ST,,,NB,5,3/14/13,THURSDAY,14,3,2013,,SFMTA DEPT PARKING AND TRAFFIC,,,,32,25,,,,,,,,,
8044000,SFDPH,LAKE MERCED BLVD,BERKSHIRE WAY \ LAKESHORE DR,SUNSET BLVD,,,WB,3,3/19/13,TUESDAY,19,3,2013,,SFMTA DEPT PARKING AND TRAFFIC,,,,42,25,,,,,,,,,
8046101,SFDPH,LAKE MERCED BLVD,CLEARFIELD DR,MIDDLEFIELD DR,,,EB,3,3/19/13,TUESDAY,19,3,2013,,SFMTA DEPT PARKING AND TRAFFIC,,,,41,22,,,,,,,,,
8044000,SFDPH,LAKE MERCED BLVD,BERKSHIRE WAY \ LAKESHORE DR,SUNSET BLVD,,,EB,3,3/19/13,TUESDAY,19,3,2013,,SFMTA DEPT PARKING AND TRAFFIC,,,,41,21,,,,,,,,,
8046201,SFDPH,LAKE MERCED BLVD,CLEARFIELD DR,MIDDLEFIELD DR,,,WB,3,3/19/13,TUESDAY,19,3,2013,,SFMTA DEPT PARKING AND TRAFFIC,,,,41,19,,,,,,,,,
8043000,SFDPH,LAKE MERCED BLVD,SKYLINE BLVD,BERKSHIRE WAY \ LAKESHORE DR,,,WB,3,3/19/13,TUESDAY,19,3,2013,,SFMTA DEPT PARKING AND TRAFFIC,,,,42,25,,,,,,,,,
8043000,SFDPH,LAKE MERCED BLVD,SKYLINE BLVD,BERKSHIRE WAY \ LAKESHORE DR,,,EB,3,3/19/13,TUESDAY,19,3,2013,,SFMTA DEPT PARKING AND TRAFFIC,,,,41,21,,,,,,,,,
7432000,SFDPH,JAMESTOWN AVE,INGALLS ST,JENNINGS ST,,,WB,3,3/19/13,TUESDAY,19,3,2013,,SFMTA IN-HOUSE NEW,,,,30,18,,,,,,,,,
7432000,SFDPH,JAMESTOWN AVE,INGALLS ST,JENNINGS ST,,,EB,3,3/19/13,TUESDAY,19,3,2013,,SFMTA IN-HOUSE NEW,,,,28,17,,,,,,,,,
7432000,SFDPH,JAMESTOWN AVE,INGALLS ST,JENNINGS ST,,,WB,4,3/20/13,WEDNESDAY,20,3,2013,,SFMTA IN-HOUSE NEW,,,,30,19,,,,,,,,,
7432000,SFDPH,JAMESTOWN AVE,INGALLS ST,JENNINGS ST,,,EB,4,3/20/13,WEDNESDAY,20,3,2013,,SFMTA IN-HOUSE NEW,,,,28,16,,,,,,,,,
7427000,SFDPH,JAMESTOWN AVE,GILROY ST,GRIFFITH ST,,,EB,5,3/21/13,THURSDAY,21,3,2013,,SFMTA IN-HOUSE NEW,,,,39,23,,,,,,,,,
7427000,SFDPH,JAMESTOWN AVE,GILROY ST,GRIFFITH ST,,,WB,5,3/21/13,THURSDAY,21,3,2013,,SFMTA IN-HOUSE NEW,,,,43,23,,,,,,,,,
7432000,SFDPH,JAMESTOWN AVE,INGALLS ST,JENNINGS ST,,,WB,5,3/21/13,THURSDAY,21,3,2013,,SFMTA IN-HOUSE NEW,,,,30,20,,,,,,,,,
7432000,SFDPH,JAMESTOWN AVE,INGALLS ST,JENNINGS ST,,,EB,5,3/21/13,THURSDAY,21,3,2013,,SFMTA IN-HOUSE NEW,,,,28,16,,,,,,,,,
7427000,SFDPH,JAMESTOWN AVE,GILROY ST,GRIFFITH ST,,,WB,6,3/22/13,FRIDAY,22,3,2013,,SFMTA IN-HOUSE NEW,,,,43,22,,,,,,,,,
7427000,SFDPH,JAMESTOWN AVE,GILROY ST,GRIFFITH ST,,,EB,6,3/22/13,FRIDAY,22,3,2013,,SFMTA IN-HOUSE NEW,,,,39,22,,,,,,,,,
3025202,SFDPH,BOSWORTH ST,LYELL ST,ARLINGTON ST \ I-280 S ON RAMP,,,WB,3,3/26/13,TUESDAY,26,3,2013,,SFMTA DEPT PARKING AND TRAFFIC,,,,31,27,,,,,,,,,
3026101,SFDPH,BOSWORTH ST,ARLINGTON ST \ I-280 S ON RAMP,DIAMOND ST,,,WB,3,3/26/13,TUESDAY,26,3,2013,,SFMTA DEPT PARKING AND TRAFFIC,,,,31,27,,,,,,,,,
3025202,SFDPH,BOSWORTH ST,LYELL ST,ARLINGTON ST \ I-280 S ON RAMP,,,EB,3,3/26/13,TUESDAY,26,3,2013,,SFMTA DEPT PARKING AND TRAFFIC,,,,31,27,,,,,,,,,
3026101,SFDPH,BOSWORTH ST,ARLINGTON ST \ I-280 S ON RAMP,DIAMOND ST,,,EB,3,3/26/13,TUESDAY,26,3,2013,,SFMTA DEPT PARKING AND TRAFFIC,,,,31,27,,,,,,,,,
6148203,SFDPH,GENEVA AVE,LINDA VISTA STPS,STONERIDGE LN,,,EB,4,4/3/13,WEDNESDAY,3,4,2013,,SFMTA DEPT PARKING AND TRAFFIC,,,,43,26,,,,,,,,,
6148201,SFDPH,GENEVA AVE,PRAGUE ST,LINDA VISTA STPS,,,EB,4,4/3/13,WEDNESDAY,3,4,2013,,SFMTA DEPT PARKING AND TRAFFIC,,,,43,26,,,,,,,,,
6148203,SFDPH,GENEVA AVE,LINDA VISTA STPS,STONERIDGE LN,,,WB,4,4/3/13,WEDNESDAY,3,4,2013,,SFMTA DEPT PARKING AND TRAFFIC,,,,42,22,,,,,,,,,
6148201,SFDPH,GENEVA AVE,PRAGUE ST,LINDA VISTA STPS,,,WB,4,4/3/13,WEDNESDAY,3,4,2013,,SFMTA DEPT PARKING AND TRAFFIC,,,,42,22,,,,,,,,,
6151201,SFDPH,GENEVA AVE,CIELITO DR,ESQUINA DR,,,WB,4,4/3/13,WEDNESDAY,3,4,2013,,SFMTA DEPT PARKING AND TRAFFIC,,,,40,22,,,,,,,,,
