,start_loc,end_loc,lat_x,lon_x,lat_y,lon_y,count
216,49 ST,WINONA AV,32.7223523,-117.0897808,32.753079,-117.0879574,133172
217,5 AV,4 AV,32.7174202,-117.1627728,32.7174202,-117.1627728,15554
218,5 AV,6 AV,32.7174202,-117.1627728,32.7174202,-117.1627728,36370
219,50 ST,52 ST,32.744514,-117.087471,32.7489909,-117.0836044,95045
220,50 ST,ALLEY E/O 50 ST ST,32.744514,-117.087471,32.7550658,-117.101892,21585
221,50 ST,ESTRELLA AV,32.744514,-117.087471,32.7494107,-117.0899733,6483
222,50 ST,EUCLID AV,32.744514,-117.087471,32.7096389,-117.086031,30103
223,50 ST,WARING  RD,32.744514,-117.087471,32.7978053,-117.0745863,2466
224,50 ST,WINONA AV,32.744514,-117.087471,32.753079,-117.0879574,81929
225,500' N/O LINDO PASEO DR,ROCKHURST DR,,,32.7854318,-117.0628882,21910
226,50TH ST,EUCLID AV,32.744514,-117.087471,32.7096389,-117.086031,8583
227,51 ST,EUCLID AV,32.711376,-117.084503,32.7096389,-117.086031,4074
228,51 ST,OLD MEMORY LN,32.711376,-117.084503,32.718914,-117.07093,2974
229,52 ST,51 ST,32.7489909,-117.0836044,32.711376,-117.084503,21097
230,52 ST,ALLEY E/O 52 ST,32.7489909,-117.0836044,32.744514,-117.087471,20836
231,52 ST,ALLEY E/O 52 ST ST,32.7489909,-117.0836044,32.7489909,-117.0836044,46840
232,52 ST,ALLEY W/O 52 ST,32.7489909,-117.0836044,32.7489909,-117.0836044,21515
233,52 ST,ALLEY W/O 52 ST ST,32.7489909,-117.0836044,32.7489909,-117.0836044,46705
234,52 ST,EUCLID AV,32.7489909,-117.0836044,32.7096389,-117.086031,40120
235,52 ST,SHILOH  RD,32.7489909,-117.0836044,32.7477681,-117.0815436,20891
236,52 ST,SHILOH RD,32.7489909,-117.0836044,32.7477681,-117.0815436,94382
237,53 ST, EUCLID AV,32.739193,-117.081413,32.7096389,-117.086031,3047
238,53 ST,54 ST,32.739193,-117.081413,32.7347417,-117.0796148,108148
239,54  ST,CHOLLAS  PK,32.7347417,-117.0796148,32.7377949,-117.0676095852324,21251
240,54 ST,55 ST,32.7347417,-117.0796148,32.7716241,-117.0763201,205417
241,54 ST,58 ST,32.7347417,-117.0796148,32.7572006,-117.0728922,2960
242,54 ST,BAJA CT,32.7347417,-117.0796148,32.768066,-117.075523,4567
243,54 ST,CAMINITO CHOLLAS ST,32.7347417,-117.0796148,32.7344233,-117.0720406,17714
244,54 ST,CHOLLAS PY,32.7347417,-117.0796148,32.7344233,-117.0720406,99129
245,54 ST,CHOLLAS PY PY,32.7347417,-117.0796148,32.7344233,-117.0720406,22967
246,54 ST,CHOLLAS PY ST,32.7347417,-117.0796148,32.7344233,-117.0720406,22653
247,54 ST,COLLEGE AV,32.7347417,-117.0796148,32.7772397,-117.0677729,20604
248,54 ST,E/O UNIVERSITY AV,32.7347417,-117.0796148,32.7772397,-117.0677729,23126
249,54 ST,MONROE AV,32.7347417,-117.0796148,32.7589932,-117.0862918,41059
250,54 ST,MONTEZUMA RD,32.7347417,-117.0796148,32.7699119,-117.0911785,65606
251,54 ST,NORTH END ST,32.7347417,-117.0796148,32.7699119,-117.0911785,1419
252,54 ST,PITTA ST,32.7347417,-117.0796148,32.7095847,-117.0728106,43330
253,54 ST,SOUTH END ST,32.7347417,-117.0796148,,,3048
254,54 ST,STREAMVIEW DR,32.7347417,-117.0796148,32.7444958,-117.0684698,6999
255,54 ST,UNIVERSITY  AV,32.7347417,-117.0796148,32.7484766,-117.1239509,4489
256,54 ST,UNIVERSITY AV,32.7347417,-117.0796148,32.7484766,-117.1239509,22128
257,54 ST,W/O UNIVERSITY AV,32.7347417,-117.0796148,32.7484766,-117.1239509,27361
258,55 ST,56 ST,32.7716241,-117.0763201,32.7585278,-117.0749295,62542
259,55 ST,CAMPANILE DR,32.7716241,-117.0763201,32.7712116,-117.0718574,53640
260,55 ST,COLLEGE AV,32.7716241,-117.0763201,32.7772397,-117.0677729,22262
261,55TH ST,COLLEGE AV,32.7716241,-117.0763201,32.7772397,-117.0677729,28601
262,56 ST,EL CERRITO DR,32.7585278,-117.0749295,32.7608475,-117.0736619,63749
263,58 ST,60 ST,32.7572006,-117.0728922,32.7608475,-117.0736619,22646
264,58 ST,RADIO DR,32.7572006,-117.0728922,32.7103419,-117.0720194,20557
265,58 ST,UNIV SQ  DY,32.7572006,-117.0728922,32.7484766,-117.1239509,22423
266,58 ST,UNIVERSITY SQ DY,32.7572006,-117.0728922,32.7484766,-117.1239509,230397
267,58 ST,WOODMAN ST,32.7572006,-117.0728922,32.709701,-117.0546294,10294
268,59 ST,IONA DR,32.7572006,-117.0728922,32.7096637,-117.0691653,53618
269,6 AV,RICHMOND ST,32.7174202,-117.1627728,32.749565,-117.151222,25190
270,60 ST,COLLEGE AV,32.7174202,-117.1627728,32.7772397,-117.0677729,67424
271,60 ST,MALLARD ST,32.7174202,-117.1627728,32.729572,-117.056328,17190
272,60 ST,ROSWELL ST,32.7174202,-117.1627728,32.714287,-117.079788,4110
273,61 ST,62 ST,32.709409,-117.0667677,32.7098724,-117.0639631,101349
274,61 ST,OMEARA ST,32.709409,-117.0667677,32.6994434,-117.0629653,22952
275,61 ST,OZZIE WY,32.709409,-117.0667677,32.7012844,-117.0679096,21576
276,61 ST,VINCA WY,32.709409,-117.0667677,32.6956219,-117.066042,21162
277,62 ST,63 ST,32.7098724,-117.0639631,32.771397,-117.063217,17149
278,63 ST,65 ST,32.771397,-117.063217,32.7119471,-117.0580891,4511
279,63 ST,65TH  ST,32.771397,-117.063217,32.7119471,-117.0580891,1655
280,63 ST,ART ST,32.771397,-117.063217,32.7682499,-117.0630578,4457
281,63 ST,EL CAJON BL,32.771397,-117.063217,,,13909
282,63 ST,MONTEZUMA RD,32.771397,-117.063217,32.7699119,-117.0911785,3503
283,63RD  ST,65TH  ST,32.771397,-117.063217,32.7119471,-117.0580891,1679
284,65 ST,66 ST,32.7119471,-117.0580891,32.7119471,-117.0580891,106081
285,65 ST,MADERA ST,32.7119471,-117.0580891,32.7145265,-117.0545929,3378
286,67 ST,68 ST,32.764213,-117.0533317,32.707779,-117.051064,22012
287,68 ST,69 ST,32.707779,-117.051064,32.7123339,-117.049351,44818
288,7 AV,8 AV,32.7174202,-117.1627728,32.7123339,-117.049351,8914
289,72 ST,HARBISON AV,32.769852,-117.042671,32.6732786,-117.0707681,70192
290,8 AV,9 AV,32.769852,-117.042671,32.7174202,-117.1627728,18409
291,8200 L J SC N DR,LA JOLL SCENIC WY,32.84869,-117.242073,,,7604
292,834' W/O OLD RNCH RD  R,END  ,,,33.1915286,-117.38905,3378
293,A  AV,ASH  ST,32.6887509,-117.173927,32.7199018,-117.1564637,22559
294,A ST,ASH ST,32.7188423,-117.1611101,32.7199018,-117.1564637,509001
295,A ST,B ST,32.7188423,-117.1611101,32.7178314,-117.1537011,14206
296,ABBOTSHILL RD,MURRAY RIDGE RD,32.785351,-117.149712,32.7874276,-117.1448427,2044
297,ABBOTSHILL RD,SD 805 R-A RD,32.785351,-117.149712,,,2550
298,ACACIA ST,43 ST,32.785351,-117.149712,32.7550658,-117.101892,2049
299,ACACIA ST,BIRCH ST,32.741928,-117.027931,33.1343596,-117.2076478,26766
300,ACADEMY RD,SD 078 RD,33.232444,-117.313843,,,3370
301,ACE  ST,WINLOW  ST,32.743297,-117.078856,32.7394511,-117.0784288,4626
302,ACE ST,WINLOW ST,32.743297,-117.078856,32.7394511,-117.0784288,19440
303,ACENA DR,BERNARDO OAKS DR,33.0225777,-117.0701514,33.012123,-117.064133,28440
304,ACENA DR,BOLERO DR,33.0225777,-117.0701514,33.0138418,-117.0711731,5392
305,ACTIVITY RD,KEARNY VILLA RD,32.8970281,-117.1235773,32.8318334,-117.1383588,61206
306,ACUNA  ST,KESLING  ST,32.831844,-117.181343,32.8330928,-117.1734941,7620
307,ACUNA ST,KESLING ST,32.831844,-117.181343,32.8330928,-117.1734941,39379
308,ADAMS  AV,COLLIER  AV,32.7633807,-117.1254226,32.7650574,-117.0866472,1881
309,ADAMS  AV,N MTN VW  DR,32.7633807,-117.1254226,32.6486407,-117.0792597,1354
310,ADAMS AV,ALDINE DR,32.7633807,-117.1254226,32.7635355,-117.0978908,29187
311,ADAMS AV,ALDINE DR AV,32.7633807,-117.1254226,32.7635355,-117.0978908,5097
312,ADAMS AV,COLLIER  AV,32.7633807,-117.1254226,32.7650574,-117.0866472,2067
313,ADAMS AV,COLLIER AV,32.7633807,-117.1254226,32.7650574,-117.0866472,2333
314,ADAMS AV,LUCILLE DR,32.7633807,-117.1254226,32.767368,-117.091827,2149
315,ADAMS AV,N MOUNTAIN VIEW DR,32.7633807,-117.1254226,32.6486407,-117.0792597,1244
316,ADAMS AV,N MTN VW DR,32.7633807,-117.1254226,32.6486407,-117.0792597,2051
317,ADOBE FALLS RD,ORCUTT AV,32.7815943,-117.083143,32.7908817,-117.0968305,77981
318,AERO  DR,BALBOA AV AV,32.7815943,-117.083143,32.8222527,-117.129964,15841
319,AERO CT,AFTON RD,32.807687,-117.1485239,32.8081378,-117.1444817,111756
320,AERO DR,BALBOA AV,32.8096863,-117.1463609,32.8222527,-117.129964,39293
321,AERO DR,DALEY SQ,32.8096863,-117.1463609,,,91409
322,AERO DR,GIBBS DR,32.8096863,-117.1463609,32.8104608,-117.1422647,11914
323,AERO DR,KEARNY MESA RD,32.8096863,-117.1463609,32.8914291,-117.1184624,53794
324,AERO DR,SD 163 R-A DR,32.8096863,-117.1463609,,,76465
