,Unnamed: 0,start_loc,end_loc,lat_x,lon_x,lat_y,lon_y,count
940,940,CAMINO SANTA FE ,CAMINITO ALVAREZ ,32.879043,-117.1726352,32.9054811,-117.1692693,39183
941,941,CAMINO SANTA FE ,CAMINITO PROPICO ,32.879043,-117.1726352,32.9204106,-117.1701894,52575
948,948,CAMINO SUR RD,BLACK MTN RD,33.009212,-117.1452309,32.9891419,-117.1266465,47570
949,949,CAMINO SUR RD,SAN DIEGUITO RD,33.009212,-117.1452309,32.9744654,-117.2166368,15422
950,950,CAMINO TICINO ST,DECORO  ST,32.862041,-117.215477,32.8641391,-117.2142307,6413
951,951,CAMINO TICINO ST,DECORO ST,32.862041,-117.215477,32.8641391,-117.2142307,18702
953,953,CAMPANILE DR,COLLEGE AV,32.7712116,-117.0718574,32.7772397,-117.0677729,29290
954,954,CAMPANILE DR,MONTEZUMA PL,32.7712116,-117.0718574,32.7710121,-117.070515,146827
955,955,CAMPUS AV,CLEVELAND AV,32.757206,-117.148773,32.7492544,-117.1523776,87161
956,956,CAMPUS AV,LINCOLN AV,32.757206,-117.148773,32.7503407,-117.1312925,5767
957,957,CAMPUS AV,PARK BL,32.757206,-117.148773,32.7331897,-117.1459423,115701
959,959,CAMPUS POINT DR,SCRIPPS HOSPITAL DR,32.8803723,-117.2235722,32.811162,-116.92197,98631
961,961,CANDIDA  ST,BLACK MTN  RD,32.8976723,-117.1205712,32.9891419,-117.1266465,10978
962,962,CANDIDA  ST,BLACK MTN RD,32.8976723,-117.1205712,32.9891419,-117.1266465,12533
963,963,CANDIDA ST,BLACK MTN  RD,32.8976723,-117.1205712,32.9891419,-117.1266465,10836
964,964,CANDIDA ST,BLACK MTN RD,32.8976723,-117.1205712,32.9891419,-117.1266465,90447
965,965,CANERIDGE RD,SPRINGBOOK DR,32.935223,-117.072403,32.9891419,-117.1266465,4556
966,966,CANIS LN,BOOTES ST,32.921345,-117.134727,32.9227686,-117.1318085,4295
968,968,CANON  ST,TALBOT  ST,32.7221187,-117.2328921,32.7202709,-117.2331596,12969
969,969,CANON ST,AVENIDA PORTUGAL ST,32.7221187,-117.2328921,32.7202709,-117.2331596,76496
971,971,CANON ST,LIGGETT DR,32.7221187,-117.2328921,32.7308509,-117.2386102,28993
972,972,CANON ST,PT LOMA AV,32.7221187,-117.2328921,32.7295639,-117.2416335,12377
973,973,CANON ST,TALBOT ST,32.7221187,-117.2328921,32.7202709,-117.2331596,45828
